0.96,0.68,1
0.74,0.46,1
0.91,0.44,1
0.63,0.97,1
0.35,0.67,1
0.22,0.53,1
0.03,0.84,1
0.55,0.73,1
0.85,0.70,1
0.80,0.15,1
0.77,2.43,1
0.91,2.92,1
0.52,2.85,1
0.06,2.66,1
0.46,2.41,1
0.47,2.40,1
0.91,2.76,1
0.25,2.03,1
0.03,2.17,1
0.25,2.63,1
0.60,4.91,1
0.02,4.43,1
0.68,4.50,1
0.62,4.55,1
0.75,4.80,1
0.25,4.09,1
0.63,4.59,1
0.22,4.07,1
0.28,4.46,1
0.65,4.22,1
0.12,6.21,1
0.77,6.27,1
0.71,6.57,1
0.77,6.90,1
0.88,6.93,1
0.14,6.27,1
0.38,6.76,1
0.55,6.92,1
0.09,6.64,1
0.34,6.82,1
0.70,8.61,1
0.32,8.28,1
0.57,8.10,1
0.61,8.89,1
0.78,8.24,1
0.96,8.62,1
0.98,8.53,1
0.31,8.71,1
0.27,8.81,1
0.92,8.05,1
2.30,0.01,1
2.02,0.95,1
2.60,0.77,1
2.73,0.58,1
2.62,0.50,1
2.72,0.29,1
2.78,0.93,1
2.50,0.01,1
2.22,0.81,1
2.64,0.01,1
2.70,2.71,1
2.93,2.44,1
2.96,2.67,1
2.39,2.91,1
2.13,2.82,1
2.15,2.55,1
2.09,2.44,1
2.75,2.90,1
2.72,2.37,1
2.25,2.31,1
2.13,4.71,1
2.17,4.57,1
2.14,4.35,1
2.57,4.38,1
2.31,4.22,1
2.21,4.20,1
2.38,4.98,1
2.93,4.31,1
2.42,4.97,1
2.27,4.29,1
2.26,6.57,1
2.83,6.96,1
2.91,6.95,1
2.69,6.26,1
2.73,6.32,1
2.99,6.86,1
2.03,6.08,1
2.37,6.57,1
2.79,6.27,1
2.78,6.01,1
2.64,8.11,1
2.44,8.12,1
2.15,8.53,1
2.30,8.36,1
2.00,8.91,1
2.70,8.99,1
2.10,8.47,1
2.42,8.97,1
2.95,8.31,1
2.17,8.70,1
4.46,0.08,1
4.78,0.27,1
4.57,0.35,1
4.36,0.34,1
4.39,0.66,1
4.01,0.39,1
4.71,0.27,1
4.96,0.68,1
4.99,0.94,1
4.44,0.79,1
4.57,2.07,1
4.99,2.84,1
4.46,2.81,1
4.41,2.58,1
4.70,2.06,1
4.31,2.32,1
4.45,2.55,1
4.73,2.68,1
4.37,2.42,1
4.81,2.57,1
4.69,4.54,1
4.64,4.70,1
4.68,4.69,1
4.13,4.84,1
4.64,4.19,1
4.99,4.08,1
4.40,4.52,1
4.78,4.69,1
4.47,4.04,1
4.08,4.39,1
4.14,6.35,1
4.71,6.77,1
4.19,6.67,1
4.88,6.61,1
4.82,6.04,1
4.30,6.27,1
4.55,6.38,1
4.97,6.49,1
4.59,6.63,1
4.83,6.68,1
4.44,8.92,1
4.68,8.49,1
4.03,8.01,1
4.85,8.07,1
4.83,8.81,1
4.15,8.08,1
4.06,8.80,1
4.80,8.32,1
4.67,8.45,1
4.69,8.24,1
6.05,0.79,1
6.85,0.19,1
6.73,0.73,1
6.53,0.51,1
6.62,0.63,1
6.42,0.82,1
6.09,0.35,1
6.71,0.22,1
6.89,0.05,1
6.87,0.04,1
6.60,2.49,1
6.99,2.04,1
6.61,2.63,1
6.80,2.35,1
6.62,2.94,1
6.64,2.06,1
6.81,2.48,1
6.19,2.32,1
6.22,2.83,1
6.74,2.31,1
6.41,4.29,1
6.73,4.24,1
6.31,5.00,1
6.63,4.75,1
6.52,4.40,1
6.90,4.49,1
6.57,4.39,1
6.57,4.28,1
6.53,4.95,1
